classtxt,classkey
Liquefaction - Low strength (OH-T) below 25cm,2054
Not rated; temperature regime,2055
Very high shrink-swell,2056
Water table at 18 to 40 inches depth,2057
Hard bedrock between 48 and 72 inches,2058
"Depth to bedrock (hard) < 40""",2059
"Not rated, fragments",2060
Highly permeable layer,2061
Somewhat Suited - Flooding,2062
unsuitable sand content,2063
Moderately low crusting potential,2064
Depth to saturated zone,2065
Not rated; slope,2066
Large stones,2067
Rutting hazard in fall,2068
Denial - SHWT 48 - 60 inches,2069
Excess salt,2070
Moderate sequestration potential,2071
CTSG 9N,2072
organic matter,2073
Soil physical properties score,2074
Slightly or Moderately Fluid,2075
Improbable,2076
Aeration,2077
16,2078
Grade 1 - Excellent,2079
"Watertable: >40""",2080
"Bedrock, above 60""",2081
"Not rated, not interpretable",2082
Sand content of surface,2083
Dense soil layer,2084
Clay content limiting,2085
I,2086
WT <38 cm - not suited,2087
Sandy surface,2088
"Watertable: 24-40""",2089
"Attenuation due to clay, water, and exchangeable ions",2090
No rating,2091
High salt and/or sodium content,2092
Plant establishment,2093
Not water gathering surface,2094
Wind erosion,2095
Subsidence,2096
Intake family 0.3,2097
Moderately High Potential,2098
"Not rated; surface stones 3 to 10""",2099
Sand Group,2100
"Not rated, fragments <60 inches",2101
Moderately high risk,2102
Unstable fill,2103
Slope somewhat suited,2104
~seepage (possible),2105
Hard to reclaim (dense layer),2106
High PM2.5,2107
"<30cm to water table, year long",2108
slope >=4%< 8%  somewhat limiting,2109
Vegetative productivity,2110
"Slope, sprinkler irrigation",2111
Soil has a moderately deep water table 50 -75 cm,2112
Mineral Surface OM <1% - poorly suited,2113
195,2114
"Provisionally Suitable - Bedrock 40-60""",2115
"FSG-NP(W)-028-Subirr, Acid",2116
Somewhat - droughty,2117
Moderately - adverse pH,2118
55,2119
Soil fertility,2120
Content of rock fragments,2121
well suited - Texture,2122
Surface salinity,2123
Moderately high water storage,2124
Mineral Surface OM >5% - not suited,2125
Hydric soil,2126
F-5,2127
Hard bedrock,2128
~flooding (rare),2129
soil organic matter <5%,2130
"Unsuitable - Bedrock 0-36""",2131
"None, Very Rare, Rare",2132
Droughty,2133
Small stones in surface layer,2134
Some surface fragments,2135
Water infiltration rate,2136
"FSG-NP(W)-012-Deep Subirr, Limy",2137
Native Veg: Prairie in uplands,2138
Excess sodium,2139
Not suited - sodicity,2140
WLO: Wet loamy overflow,2141
pH response,2142
Moderate Humus,2143
"Unsuited, external factors",2144
Not suited - surface texture,2145
Missing AWC data,2146
Frequent or very frequent flooding,2147
Unsuited seedbed property,2148
Water runoff,2149
<30cm to water table for >=6mos,2150
Depth to bedrock or cemented pan is more than 10 inches,2151
Very limited,2152
"Pro Suitable - Platy or Massive >24""",2153
Good response,2154
A-6,2155
Not rated; Unified,2156
FSG-NP(W)-001-Clayey,2157
Medium,2158
Sandiness,2159
Organic Substrate,2160
"Collapse risk, onsite investigation needed",2161
Somewhat subirrigated,2162
Not rated; LEI and/or horizon depth,2163
Soil organic matter 2 to 5 %,2164
Water table is greater than 200 cm,2165
Flooding >brief OR occasional,2166
Organic matter content somewhat limiting,2167
Hard bedrock at less than 48 inches,2168
Small stones,2169
Histels taxonomic suborder,2170
moderately suited - AWC,2171
Rock fragment content,2172
Rare flooding,2173
Rapid water movement,2174
"Rock fragments, 3-10 inches",2175
Very low PM10,2176
Soil climate,2177
CTSG 4CK,2178
Fine texture,2179
Not Permitted - Hydric Soil,2180
Mineral soil,2181
poorly suited - AWC,2182
Depth to cemented pan,2183
Not rated - slope,2184
"Not rated, fragments <58 inches",2185
Soil Has Very Suitable Drainage and Water Table,2186
Organic Mud Subclass,2187
Not rated; LEI and/or horizon  depth,2188
Hard to reclaim,2189
21,2190
Potential frost action,2191
Mildly wet,2192
CTSG 4C,2193
Moderate Suitability,2194
Mean annual air temperature somewhat limiting,2195
Gravel content,2196
Intermediate water depth,2197
135,2198
Very high PGI,2199
"Subgelic, MAAT <-3 degrees C, loamy-skeletal at < 20 cm",2200
High pH,2201
Not Limiting,2202
"Massive ice possible below 6 feet, moderate subsidence potential",2203
